40
27,25
25,24
24,23
23,17
23,22
104,105
105,106
106,107
107,142
23,13
23,14
117,18
107,18
18,58
18,15
58,53
58,54
15,53
15,54
66,58
66,15
65,58
65,15
21,20
107,16
19,17
19,16
142,17
142,149
129,130
130,14
13,14
14,50
14,46
14,47
14,48
14,49
104,117
107,19
16,17
33
13,ATM
14,TP53
15,BCL2
16,CASP9
17,CASP3
18,BAD
19,BIRC2
20,APAF1
21,CYCS
22,BID
23,CASP8
24,FADD
25,FAS
27,FASLG
46,BAX
47,BAK1
48,PMAIP1
49,BBC3
50,FAS
53,BAX
54,BAK1
58,BCL2L1
65,BBC3
66,PMAIP1
104,ERBB2
105,
106,PDK1,PDPK1
107,AKT3
117,MAPK1
129,CDKN2A
130,MDM2
142,CDKN1A
149,MAP3K5
